device_id: 66309, type: ext4, source: /dev/nvme0n1p5, target: /, root: /, real_device: /dev/nvme0n1p5
device_id: 66306, type: ext4, source: /dev/nvme0n1p2, target: /boot, root: /, real_device: /dev/nvme0n1p2
device_id: 66308, type: ext4, source: /dev/nvme0n1p4, target: /recovery, root: /, real_device: /dev/nvme0n1p4
device_id: 66305, type: vfat, source: /dev/nvme0n1p1, target: /boot/efi, root: /, real_device: /dev/nvme0n1p1
device_id: 2049, type: ext4, source: /dev/sda1, target: /data, root: /, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /var, root: /var, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /opt, root: /opt, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /home, root: /home, real_device: /dev/sda1
device_id: 2049, type: ext4, source: /dev/sda1, target: /root, root: /root, real_device: /dev/sda1
-------------------------------
[2024-11-07 09:52:03.267428727] [DEBUG] [Thread 140405665400064] Scanning /data/home/dxnu...
/
/boot
/recovery
/boot/efi
/data
-------------------------------
[2024-11-07 09:52:04.878940806] [DEBUG] [Thread 140405665400064] Record size: 122817
[2024-11-07 09:53:07.293575585] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-33.txt
[2024-11-07 09:53:07.293596134] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-34.txt
[2024-11-07 09:53:07.293650658] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-35.txt
[2024-11-07 09:53:07.293679522] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-36.txt
[2024-11-07 09:53:07.293701570] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-37.txt
[2024-11-07 09:53:07.293721427] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-38.txt
[2024-11-07 09:53:07.293741389] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-39.txt
[2024-11-07 09:53:07.293776416] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-40.txt
[2024-11-07 09:53:07.299379749] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-41.txt
[2024-11-07 09:53:07.299419070] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-42.txt
[2024-11-07 09:53:07.299438631] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-43.txt
[2024-11-07 09:53:07.299456855] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-44.txt
[2024-11-07 09:53:07.299474427] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-45.txt
[2024-11-07 09:53:07.299492961] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-46.txt
[2024-11-07 09:53:07.299511033] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-47.txt
[2024-11-07 09:53:07.299529121] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-48.txt
[2024-11-07 09:53:07.299547155] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-49.txt
[2024-11-07 09:53:07.299564742] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-50.txt
[2024-11-07 09:53:07.305158556] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-51.txt
[2024-11-07 09:53:07.305238932] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-52.txt
[2024-11-07 09:53:07.305267718] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-53.txt
[2024-11-07 09:53:07.305290784] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-54.txt
[2024-11-07 09:53:07.305312647] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-55.txt
[2024-11-07 09:53:07.305333208] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-56.txt
[2024-11-07 09:53:07.305351122] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-57.txt
[2024-11-07 09:53:07.305368949] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-58.txt
[2024-11-07 09:53:07.305387048] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-59.txt
[2024-11-07 09:53:07.305405082] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-60.txt
[2024-11-07 09:53:07.310657223] [DEBUG] [Thread 140405605656320] Removed index: /data/home/dxnu/scripts/whntimya-61.txt
